Name,Image Path,Description,Height:,DOB:,Birth Place:,Net Worth:,Zodiac:,Relationship Status:,Ethnicity:
John Malkovich,images/John_Malkovich.jpg,"John Malkovich is an American actor, director, and fashion designer, known for his distinctive voice and unconventional acting style. He first gained recognition for his stage work in the 1980s and his breakthrough film performance in ""Places in the Heart"". Since then, Malkovich has starred in a number of critically acclaimed films, including ""Dangerous Liaisons"", “Empire of the Sun”, ""Being John Malkovich"", “The Perks of Being a Wallflower”, and ""Burn After Reading"". His performances have earned him Academy Award nominations, Golden Globe Awards, and other accolades. Malkovich is also a respected theatre director and has directed productions in London's West End and on Broadway. He has also explored his creative side as a fashion designer, creating his own line of clothing. With a career that spans over three decades and a reputation for fearlessly taking on challenging roles, Malkovich has established himself as one of the most versatile and respected actors of his generation.",182 cm,09-Dec-1953 (71 years),"Christopher, Illinois (USA)",$25 Million,Sagittarius,Married,Caucasian
Stanley Tucci,images/Stanley_Tucci.jpg,"Stanley Tucci is an American actor, writer, producer, and film director known for his versatility and impressive range as an actor. He has appeared in numerous films and television shows, delivering powerful and memorable performances that have made him one of the most sought-after actors in Hollywood. Tucci's roles span a wide range of genres and include notable films such as ""The Lovely Bones,"" ""The Terminal,"" ""The Devil Wears Prada,"" ""Big Night,"" “The Hunger Games,” etc. He has also had success on television, appearing in shows such as ""Feud"" and ""Winchester.""  Tucci has the ability to bring depth and nuance to his characters, combined with his natural charisma and charm. He has received numerous awards and nominations, including an Emmy Award for his performance in ""Feud."" Tucci's impact on pop culture is significant, and he continues to be a highly respected and influential figure in the entertainment industry.",172 cm,11-Nov-1960 (64 years),Peekskill (United States),$25 Million,Scorpio,Married,Italian-American
Steven Soderbergh,images/Steven_Soderbergh.jpg,"Steven Soderbergh is an American film director, producer, and screenwriter who has had a major impact on Hollywood. He is known for his innovative and boundary-pushing films, which have received critical acclaim and commercial success. Some of his most notable films include ""Sex, Lies, and Videotape,"" ""Ocean's Eleven,"" ""Traffic,"" ""Erin Brockovich,"" etc. His movies and direction style have earned multiple Oscar nominations. Soderbergh's impact on Hollywood can be seen in the way he challenged traditional film-making conventions and pushed the boundaries of the medium. He is considered one of the most innovative and influential filmmakers of his generation, and his impact on the film industry continues to be felt today.",182 cm,14-Jan-1963 (62 years),"Atlanta, Georgia (United States)",$80 Million,Capricorn,Married,Caucasian
Woody Harrelson,images/Woody_Harrelson.jpg,"Woody Harrelson is an American actor who rose to fame in the mid-1980s as a cast member on the television sitcom “Cheers”. He won a Primetime Emmy award and multiple nominations for this role. He reprised it in the spin-off, “Frasier” too. Harrelson's acting career took off in the 1990s with a string of critically acclaimed film roles, including ""White Men Can't Jump,"" ""Natural Born Killers,"" and ""The People vs. Larry Flynt,"" for which he received an Academy Award nomination for Best Supporting Actor. Harrelson has become known for his roles in high-profile films, including ""The Hunger Games"" franchise, ""True Detective,"" and ""Three Billboards Outside Ebbing, Missouri.""  He has also become an advocate for environmental and social causes and is a vocal supporter of the plant-based diet movement. Woody Harrelson is a versatile and talented actor who rose to fame in the mid-1980s and has since become a major figure in Hollywood. His unique comedic style and powerful dramatic performances have made him a beloved star.",178 cm,23-Jul-1961 (63 years),Texas (United States),$70 Million,Leo,Married,Caucasian
Ed Harris,images/Ed_Harris.jpg,"Ed Harris is an American actor known for his powerful performances in films. He has had a long and successful career, appearing in numerous critically acclaimed films and delivering memorable and impactful performances. Harris first rose to prominence in the 1980s with his performances in films such as ""The Right Stuff,"" “Glengarry Glen Ross,” “Top Gun: Maverick,” “Mother!,” ""Places in the Heart,"" etc. He has since gone on to have a long and illustrious career, appearing in films such as ""The Truman Show,"" ""Apollo 13,"" and ""A Beautiful Mind.""  Harris has won several awards, including a Golden Globe Award for his performance in ""Pollock."" Harris' impact on Hollywood is significant, and he continues to be widely regarded as one of the finest actors of his generation.",175 cm,28-Nov-1950 (74 years),New Jersey (United States),$25 Million,Sagittarius,Married,Caucasian
Patrick Stewart,images/Patrick_Stewart.jpg,"Sir Patrick Stewart is an English actor who has become a household name in Hollywood thanks to his iconic performances. He is best known for his role as Captain Jean-Luc Picard in the ""Star Trek: The Next Generation"" television series and films, which first aired in 1987. This role became a fan favourite for his portrayal of the cultured and dignified Starfleet captain. In addition to his role as Picard, Stewart is also well-known for his work as Professor Charles Xavier in the ""X-Men"" film franchise. He first appeared as the telepathic leader of the X-Men in 2000 and has since reprised the role in several films in the franchise. Aside from his work in sci-fi and comic book adaptations, Stewart is also a highly regarded stage actor. He received critical acclaim for his performances in Shakespearean plays and other productions. He has received numerous accolades for his work, including a knighthood from Queen Elizabeth II. Sir Patrick Stewart is a beloved and highly respected figure in Hollywood.",178 cm,13-Jul-1940 (84 years),Mirfield (United Kingdom),$75 Million,Cancer,Married,White
Alan Arkin,images/Alan_Arkin.jpg,"Alan Arkin is an American actor, director, and screenwriter known for his versatility and award-winning performances on stage and screen. He first rose to prominence in the 1960s with his work in film and on Broadway. He won two Tony awards for his work in acting and direction on Broadway. Arkin is known for his ability to bring humour, humanity, and nuance to his characters and has received numerous award nominations, including four Academy Award nominations and two BAFTA Award nominations. He has won several awards, including an Academy Award for Best Supporting Actor for his performance in ""Little Miss Sunshine."" Arkin has worked in Wait Until Dark, The Heart Is a Lonely Hunter, Catch-22, Edward Scissorhands, Glengarry Glen Ross, etc. His impact on Hollywood is significant, and he continues to be widely regarded as one of the finest actors of his generation. Arkin has inspired many actors with his commitment to his craft and his ability to bring depth and nuance to his performances.",175 cm,26-Mar-1934 (91 years),New York (United States),$15 Million,Aries,Married,Ashkenazi Jewish
Jeffrey Tambor,images/Jeffrey_Tambor.jpg,"Jeffrey Tambor is an American actor known for his versatile and accomplished career in film, television, and theatre. He is best known for his role as George Bluth Sr. in the critically acclaimed television show ""Arrested Development."" His other TV roles were in The Ropers, The Larry Sanders Show, Transparent, etc. Tambor has also appeared in numerous popular films, such as ""The Hangover"", “The Death of Stalin”, “There's Something About Mary“, ""Hellboy"", etc. In addition to his work in film and television, Tambor has had a successful stage career and has received critical acclaim for his work in theatre. He has won numerous awards for his performances, including two Primetime Emmy Awards and a Golden Globe Award. Tambor's career has had a lasting impact on the entertainment industry, and he continues to be regarded as one of the most talented actors of his generation.",185 cm,08-Jul-1944 (80 years),California (United States),$16 Million,Cancer,Married,Ashkenazi Jewish
Louis C.K.,images/Louis_CK.jpg,"Louis C. K. is an American comedian, writer, producer, and actor who rose to fame in the late 1990s and early 2000s. He began his career as a stand-up comedian, performing in comedy clubs and colleges across the United States. He quickly gained recognition for his humorous and insightful material and became a sought-after performer. In the early 2000s, he created and starred in the critically acclaimed FX sitcom ""Louie,"" which won numerous awards and was widely regarded as one of the best comedy series of its time. Louis C. K.'s influence on comedy is significant, and he is widely regarded as one of the greatest stand-up comedians of his generation. He has been praised for his unique and edgy material and for his ability to tackle controversial and sensitive topics in a humorous and insightful way. He has won numerous awards and accolades, including several Emmy Awards and several Grammy Awards. Louis C. K.'s other popular shows have been Pootie Tang, Tomorrow Night, and comedy specials Shameless, Chewed Up, Hilarious, and Oh My God.",183 cm,12-Sep-1967 (57 years),"Washington, D.C. (United States)",$35 Million,Virgo,Unknown,Caucasian
Bruce Willis,images/Bruce_Willis.jpg,"Bruce Willis is an American actor and film producer who rose to fame in the 1980s. He began his career as a television actor, appearing in the popular TV show ""Moonlighting,"" before transitioning into film. He is best known for his roles in action films such as ""Die Hard,"" ""Pulp Fiction,"" and ""The Fifth Element,"" and he has become synonymous with the action genre. Willis has received numerous accolades, including several Golden Globe nominations. In addition to his acting work, Willis is also known for his musical pursuits. He has released several albums and has performed as a blues singer in various venues. Willis is widely regarded as one of the most iconic actors with hits like “Armageddon,” “The Sixth Sense,” “Moonrise Kingdom,” etc. Bruce Willis is a true legend of the entertainment industry, and his career remains one of the most fascinating and accomplished in Hollywood history.",183 cm,19-Mar-1955 (70 years),Idar-Oberstein (Germany),$250 Million,Pisces,Married,Caucasian
Laurence Fishburne,images/Laurence_Fishburne.jpg,"Laurence Fishburne is a talented and versatile actor who has built a successful career in Hollywood over several decades. He began his acting career as a child in the 1970s and gained recognition for his role as the teenage matrix in Francis Ford Coppola's ""Apocalypse Now"". He continued to work in film and television, delivering standout performances in films such as ""The Cotton Club,"" ""King of New York,"" and ""Boyz n the Hood."" Fishburne also established himself as a prominent stage actor, winning a Tony Award for his role in August Wilson's play ""Two Trains Running"". He has also lent his voice to several animated films, including ""Surf's Up"" and ""Justice League: Doom"". Fishburne's career took another turn in the mid-1990s with his role as Morpheus in the ""Matrix"" trilogy, which earned him worldwide recognition and became a cultural phenomenon. He has since appeared in a variety of high-profile films, including ""Mission: Impossible III"", ""The Legend of Bagger Vance"", “John Wick” franchise, and ""Man of Steel"". Fishburne is widely regarded as one of the most talented actors of his generation. He is known for his powerful and nuanced performances and his ability to bring depth and emotion to even the most complex characters.",184 cm,30-Jul-1961 (63 years),Augusta (United States),$30 Million,Leo,Single,African-American
Jerry Seinfeld,images/Jerry_Seinfeld.jpg,"Jerry Seinfeld is a comedian, actor, and writer best known for creating and starring in the hit television show ""Seinfeld."" He got his start in comedy in the 1970s, performing stand-up in clubs and eventually appearing on television shows such as ""The Tonight Show Starring Johnny Carson.""  In 1989, he created ""Seinfeld,"" which went on to become one of the most popular and successful sitcoms in television history. After the show ended in 1998, Seinfeld continued to perform stand-up comedy and has since become one of the highest-earning comedians in the world. He has also acted in a number of films and television shows, including ""Bee Movie,"" “The Marriage Ref,” and ""Comedians in Cars Getting Coffee."" Seinfeld remains a popular and influential figure in the world of comedy, known for his observational humour and witty delivery. He continues to tour and perform stand-up, entertaining audiences around the world.",180 cm,29-Apr-1954 (70 years),New York (United States),$950 Million,Taurus,Married,Ashkenazi Jewish
Common,images/Common.jpg,"Common, born Lonnie Rashid Lynn Jr., is an American rapper, actor, and activist who has emerged as a prominent figure in both hip-hop and Hollywood. He won 3 Grammys, an Oscar, a Primetime Emmy, and a Golden Globe. His music career took off in the late 1990s with his acclaimed albums ""Can I Borrow a Dollar?"" and ""Like Water for Chocolate,"" establishing him as a conscious rapper known for his introspective lyrics and socially conscious themes. Common's success in music paved the way for a flourishing acting career. He made his film debut in 2000 and went on to star in notable films such as ""American Gangster,"" ""Smokin’ Aces,"" “John Wick: Chapter 2,” and ""Selma.""",184 cm,13-Mar-1972 (53 years),"Chicago, Illinois (United States)",$45 Million,Pisces,Single,African-American
Dwayne Johnson,images/Dwayne_Johnson.jpg,"Dwayne ""The Rock"" Johnson is a former professional wrestler turned Hollywood superstar. He began his wrestling career in the late 1990s and quickly became one of the most popular and charismatic performers in the industry. His popularity in the ring led to a successful acting career, starting with the film “The Mummy Returns”. Johnson's star continued to rise with his appearances in a string of hit action films such as ""The Scorpion King,"" ""Fast & Furious"" franchise, ""Journey 2: The Mysterious Island,"" ""San Andreas,"" “Jumanji: Welcome to the Jungle,” ""Moana,"" etc. He has become known for his larger-than-life personality, charming smile, and physical presence. In addition to acting, Johnson has become a media personality, hosting and producing his own reality competition series ""The Titan Games."" He is also an entrepreneur with a successful line of clothing and a tequila brand. Johnson's impact on pop culture is undeniable. He has a massive following on social media and is considered one of the most recognizable and bankable stars in Hollywood.",196 cm,02-May-1972 (52 years),"Hayward, California (United States)",$800 Million,Taurus,Married,Samoan and African American
LL.Cool J,images/LLCool_J.jpg,"LL Cool J (James Todd Smith) is an American rapper, actor, and entrepreneur. LL Cool J is short for Ladies Love Cool James. He was one of the earliest rappers to enjoy commercial success and is considered one of the pioneers of hip-hop music and one of the genre's most influential figures. He rose to prominence in the 1980s with his debut album, ""Radio,"" which was released in 1985 and is considered a classic of the hip-hop genre. Throughout the 1980s and 1990s, LL Cool J released a string of hit albums and singles, including ""I Can't Live Without My Radio,"" ""I'm Bad,"" and ""Mama Said Knock You Out."" In addition to his successful music career, LL Cool J has also pursued a successful acting career, appearing in numerous films and television shows, including ""NCIS: Los Angeles."" He has received numerous awards and accolades for his contributions to the music and entertainment industries and continues to be a major influence on popular culture.",187 cm,14-Jan-1968 (57 years),"Bay Shore, New York (United States)",$120 Million,Capricorn,Married,African American
Dave Chappelle,images/Dave_Chappelle.jpg,"Dave Chappelle is an American comedian, actor, writer, and producer widely regarded as one of the greatest comedians of all time. He rose to prominence in the 1990s with his comedy sketches on the popular TV show ""Chappelle's Show"". In 2004, he famously walked away from a $50 million contract with Comedy Central to take a hiatus from the limelight. After a few years abroad, Chappelle made a comeback in 2013 and has since performed stand-up comedy across the world. He has also appeared in numerous films, including ""Robin Hood: Men in Tights"", ""You've Got Mail"", “The Nutty Professor,” “A Star Is Born,” and ""Chi-Raq"". Chappelle signed a six-episode deal with Netflix and released six stand-up specials at $20-million-per-release. Chappelle's biting social commentary, fearless approach to controversial topics, and ability to delve into the human experience have made him a beloved figure in comedy and popular culture.",183 cm,24-Aug-1973 (51 years),"Washington, D.C. (United States)",$60 Million,Virgo,Married,African-American
Garth Brooks,images/Garth_Brooks.jpg,"Garth Brooks is an American country singer, songwriter, and performer who has had a successful and influential career in the music industry. He rose to prominence in the 1990s with his unique blend of country, rock, and pop and quickly became one of the best-selling music artists of all time. Brooks has released numerous chart-topping albums and has had a string of hit singles, including ""Friends in Low Places,"" ""The Dance,"" and ""Thunder Rolls."" He has won numerous awards for his music, including multiple Grammy Awards and Country Music Association Awards. Brooks has also been credited with modernizing the country music genre and popularizing it to a wider audience. Garth Brooks has another unique feather in his cowboy hat. He is the only artist to have nine albums that received diamond certification in the USA. He has been inducted into the Country Music Hall of Fame and continues to be a major influence on the industry.",182 cm,07-Feb-1962 (63 years),"Tulsa, Oklahoma (United States)",$400 Million,Aquarius,Married,White
Jason Alexander,images/Jason_Alexander.jpg,"Jason Alexander is an American actor, director, and comedian best known for his role as George Costanza on the hit television show ""Seinfeld."" He got his start in theatre before transitioning to television and film. In addition to ""Seinfeld,"" Alexander has appeared in numerous other television shows and films, including ""Pretty Woman,"" “Hunchback of Notre Dame,” “The Marvelous Mrs. Maisel,” ""Dunston Checks In,"" and ""Listen Up."" He has also been a frequent voice actor for animated television shows and films. Alexander has received numerous award nominations for his work, including six Primetime Emmy Award nominations. He has also had a successful career as a stage actor, appearing in numerous Broadway productions, including ""The Producers"" and ""Jerome Robbins' Broadway."" Throughout his career, Alexander has been known for his versatility and ability to bring humour and heart to his performances.",164 cm,23-Sep-1959 (65 years),New Jersey (United States),$50 Million,Libra,Married,Caucasian
James Spader,images/James_Spader.jpg,"James Spader is an American actor best known for portraying eccentric characters. His most famous roles have been in films such as ""Sex, Lies, and Videotape,"" ""Crash,"" and ""Secretary."" He has also made a name for himself on television, with critically acclaimed performances in shows such as ""Boston Legal"" and ""The Blacklist.""  He also starred in Steven Spielberg’s Lincoln, and MCU’s Avengers: Age of Ultron. With a distinctive voice and unique acting style, Spader has become a fan favourite and one of the most recognizable faces in Hollywood. He has received numerous award nominations, including three Emmy Awards, for his work in television. Spader continues to act in film and television, showcasing his versatility as an actor and maintaining his status as one of the industry's most sought-after performers.",178 cm,07-Feb-1960 (65 years),Massachusetts (United States),$20 Million,Aquarius,Married,Caucasian
Pitbull,images/Pitbull.jpg,"Pitbull, also known as Mr. Worldwide, is a Cuban-American rapper and producer who has had a significant impact on the music industry. He is known for his charismatic personality and high-energy performances, as well as his catchy, dance-oriented tracks. Pitbull has collaborated with many popular artists and has been featured in numerous hit songs. He is also known for his remixes, which have become popular in the club scene. His ability to infuse different musical styles, such as hip-hop, pop, and Latin, into his music has earned him a broad and diverse following. Pitbull has received numerous awards and accolades for his contributions to the music industry and has sold millions of records worldwide. He continues to be a major influence on the music scene and is widely regarded as one of the most successful Latin American musicians of all time.",170 cm,15-Jan-1981 (44 years),Florida (United States),$100 Million,Capricorn,Single,Cuban-American
David Cross,images/David_Cross.jpg,"David Cross is an American comedian, writer, and actor. He rose to fame in the late 1990s as a performer and writer on the popular HBO sketch comedy series ""Mr. Show with Bob and David"". He has since become one of the most respected and influential comedians of his generation. He cemented his popularity as Tobias Fünke in Arrested Development. Cross' impact on the entertainment industry can be seen in his cutting-edge and socially conscious comedy, which often tackles political and cultural issues. He has been praised for his ability to push boundaries and for his innovative use of language and character work. In addition to his work in television and stand-up comedy, Cross has also had successful film roles, including ""Scary Movie 2"", ""Men in Black II"", and ""Eternal Sunshine of the Spotless Mind"". He has also written several books, including ""I Drink for a Reason"" and ""Making America Great Again!"". He continues to be a highly sought-after performer and a powerful voice in the world of comedy and entertainment.",170 cm,04-Apr-1964 (61 years),Atlanta (United States),$10 Million,Aries,Married,White
Vin Diesel,images/Vin_Diesel.jpg,"Vin Diesel is an American actor, producer, and filmmaker best known for his roles in high-octane action films such as the ""Fast and Furious"" franchise. He got his start in the entertainment industry as a performer and screenwriter before transitioning to acting. Diesel first gained recognition for his role as Richard B. Riddick in the film ""Pitch Black,"" which led to a successful career in action and sci-fi films. He rose to international fame with his role as Dominic Toretto in the ""Fast and Furious"" franchise, which has become one of the highest-grossing film series of all time. He also dubbed for the Guardians of the Galaxy franchise as Groot. In addition to his work as an actor, Diesel is also a prolific producer and has been involved in the production of several successful film franchises. Diesel is widely regarded as one of the most successful and influential action stars of his generation and continues to be a major player in the entertainment industry.",182 cm,18-Jul-1967 (57 years),California (United States),$225 Million,Cancer,Unknown,Multiracial
Ving Rhames,images/Ving_Rhames.jpg,"Ving Rhames is an American actor who has had a significant impact on Hollywood. He is a character actor best known for his powerful and charismatic performances in films and for his versatility. Some of the most prominent film roles of Rhames have been in ""Pulp Fiction,"" ""Mission: Impossible,"" its sequels, ""Out of Sight,"" ""Baby Boy,"" “Con Air,” “Jacob’s Ladder,” etc. He has worked with top directors like Quentin Tarantino, Steven Soderbergh, Martin Scorsese, etc. He is known for his ability to bring depth and nuance to even the most complex characters and for his ability to command the screen with his imposing presence. Rhames has continued to have a significant impact on the film industry and remains one of the most respected actors in the world.",183 cm,12-May-1959 (65 years),New York City (US),$25 Million,Taurus,Married,African-American
Billy Joel,images/Billy_Joel.jpg,"Billy Joel is an American singer-songwriter who is famously called the “Piano Man” referring to his hit song of the same name. He is one of the best-selling music artists of all time, with a string of hit albums and singles that have made him one of the most successful pop and rock performers of his generation. Joel's signature style combines elements of rock, pop, and classical music, and his catchy melodies and insightful lyrics have won him a devoted following around the world. He has had numerous hit singles, including ""Piano Man,"" ""Uptown Girl,"" and ""We Didn't Start the Fire,"" which have become classic rock standards. Joel has won numerous awards for his contributions to music, including a Grammy Legend Award and a Kennedy Center Honor. He continues to perform and tour, and his music continues to be widely beloved and celebrated.",165 cm,09-May-1949 (75 years),New York (United States),$225 Million,Taurus,Married,Caucasian
Jon Cryer,images/Jon_Cryer.jpg,"Jon Cryer is an American actor and comedian who began his career in the 1980s with roles in films such as ""Pretty in Pink"" and ""Superman IV: The Quest for Peace."" He found success on television in the 1990s with sitcoms like ""The Trouble with Normal"" and ""Partners."" However, his role as Alan Harper on the long-running CBS sitcom ""Two and a Half Men"" made him a household name. During his twelve seasons on the show, Cryer won two Primetime Emmy Awards and earned three additional nominations. Cryer has continues to work in both film and television, appearing in projects such as the Netflix comedy series ""A Series of Unfortunate Events"" and the CW superhero series ""Supergirl."" He has also returned to the stage, starring in productions of ""An American in Paris"" and ""Wait Until Dark.""",175 cm,16-Apr-1965 (59 years),New York (USA),$70 Million,Aries,Married,Caucasian
